表,食谱,状态,原料,原料类型,营养档案,改前,改后,处理说明
正式食谱,小米山药猪肉,PUBLIC,花椰菜,FOOD,,去老梗、焯水后称重、打碎、充分搅拌,去老梗、焯水、沥干后称重、打碎、充分搅拌,自由文本归一
正式食谱,小米鳕鱼鸡胸,PUBLIC,小米,FOOD,熟,生重、打碎、充分搅拌,熟重、打碎、充分搅拌,熟档案：生重→熟重
正式食谱,创伤恢复+红胡子(牛肉版),DRAFT,小麦胚芽油,FOOD,油脂,dd27baa4-36cb-4405-9092-0eb37e6160fa、af4c8a9c-98bf-4f91-ab07-4927aae2c4c2,充分搅拌,机器码还原、油/粉/补剂：删除口径词
正式食谱,小豆 的鲜食食谱 08/29,PRIVATE_CUSTOM,紫薯,FOOD,生,去皮、煮熟后称重,去皮、生重,生档案：熟制称重→生重
正式食谱,创伤恢复+红胡子(牛肉版),DRAFT,鸡蛋壳粉,SUPPLEMENT,浓缩补剂,dd27baa4-36cb-4405-9092-0eb37e6160fa、af4c8a9c-98bf-4f91-ab07-4927aae2c4c2,充分搅拌,机器码还原、油/粉/补剂：删除口径词
正式食谱,帽帽 的鲜食食谱 07/10,PRIVATE_CUSTOM,山药,FOOD,生,去皮、煮熟后称重、打碎、充分搅拌,去皮、生重、打碎、充分搅拌,生档案：熟制称重→生重
正式食谱,帽帽 的鲜食食谱 07/10,PRIVATE_CUSTOM,南瓜,FOOD,生,去瓤、去皮、煮熟后沥水、称重、打碎、充分搅拌,去瓤、去皮、生重、打碎、充分搅拌,自由文本归一、生档案：熟制称重→生重、去掉多余称重
正式食谱,帽帽 的鲜食食谱 07/10,PRIVATE_CUSTOM,西兰花,FOOD,生,打碎、静置30分钟、焯水沥干、称重、充分搅拌,打碎、静置30分钟、焯水、沥干后称重、充分搅拌,自由文本归一、去掉多余称重
正式食谱,帽帽 的鲜食食谱 07/10,PRIVATE_CUSTOM,小米,FOOD,生,煮熟后称重、充分搅拌,生重、充分搅拌,生档案：熟制称重→生重
正式食谱,derder 夏季鲜食食谱,PRIVATE_CUSTOM,小米,FOOD,生,煮熟后称重、充分搅拌,生重、充分搅拌,生档案：熟制称重→生重
正式食谱,布丁定制食谱,PRIVATE_CUSTOM,大米,FOOD,生,煮熟后称重、打碎、充分搅拌,生重、打碎、充分搅拌,生档案：熟制称重→生重
正式食谱,布丁定制食谱,PRIVATE_CUSTOM,姜黄粉,FOOD,粉,生重、充分搅拌,充分搅拌,油/粉/补剂：删除口径词
正式食谱,猪里脊青花鱼藜麦小米,PUBLIC,四季豆,FOOD,,煮熟后沥水称重、打碎后充分搅拌,煮熟后称重、打碎、充分搅拌,自由文本归一
